Year,ICD10 Code_x,ICD10 Diagnosis_x,Diagnosis Type_x,Metric_x,Sex_x,Value_x,ICD10 Code_y,ICD10 Diagnosis_y,Diagnosis Type_y,Metric_y,Sex_y,Value_y,"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),Method,Sex,16 and Over,16-24,25-34,35-49,50-59,60 and Over
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,13257,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,23659,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,40273,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,6739,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,167889,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,67991,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,11431,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,All codes,All admissions,All admissions,Attributable number,,474600,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-D48,All cancers,All cancers,Attributable number,,158500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,141500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,130800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,19900,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,70500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,,14000,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,,19400,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,,3700,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,,700,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,,26700,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,,3700,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,,3900,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,6100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,2800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,7000,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,5000,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,93800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,42800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,40200,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,57900,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,6200,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,16500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,7200,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,2800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,11200,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,,6100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,,2700,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,,16600,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,,6700,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,,500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,All codes,All admissions,All admissions,Number of admissions,Male,5141482,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,931001,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-D48,All cancers,All cancers,Number of admissions,Male,828031,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,300450,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,522587,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,719952,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47421,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,15583,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21400,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3886,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,0,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,52109,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,10123,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13745,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,14470,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3546,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,25679,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3131,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,58597,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,105107,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,161239,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,179220,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,22104,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,53512,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9461,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8571,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,12000,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,17995,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2560,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,70169,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,19373,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,0,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,All codes,All admissions,All admissions,Attributable number,Male,293000,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-D48,All cancers,All cancers,Attributable number,Male,108700,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,73400,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,91300,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,10000,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,40900,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,11100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,0,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,22100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3300,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3300,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,3100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,1800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,5400,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,45600,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,25000,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,27500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,42600,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,3500,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9600,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5800,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,2200,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,6100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2900,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,1100,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
